,TA_F,SW_IN_POT,SW_IN_F,LW_IN_F,VPD_F,P_F,WS_F,LE_F_MDS,H_F_MDS
225,14.755,422.866,202.436,344.714,1.603,0.7916666666666667,1.926,85.2668,70.1222
226,16.024,420.584,130.605,358.203,1.516,0.334,1.567,63.7525,31.6563
227,16.467,418.272,145.945,357.202,1.858,0.9224285714285716,1.645,69.1927,32.026
228,16.56,415.929,135.304,365.843,1.502,1.5108571428571431,1.67,56.9399,31.383
229,16.918,413.555,165.123,376.665,1.618,2.0992857142857146,1.269,68.8925,52.0704
230,16.152,411.153,189.834,341.74,2.428,2.687714285714286,2.754,72.7276,39.0163
231,16.276,408.721,265.742,319.842,3.505,3.2761428571428577,3.708,102.752,38.9077
232,16.961,406.262,144.145,371.123,2.259,3.864571428571429,4.699,58.1363,15.2909
233,17.541,403.774,61.405,391.991,0.769,4.453,4.982,36.058,-10.8972
234,15.216,401.259,89.221,382.985,0.632,12.964,5.359,81.5005,15.2814
235,13.632,398.717,207.479,310.552,2.784,10.506,3.071,99.7805,29.3244
236,14.836,396.148,155.981,334.848,2.56,8.048,1.971,68.0748,24.1129
237,16.542,393.555,176.289,325.491,3.95,5.59,1.704,90.2604,34.8296
238,17.069,390.935,271.903,291.593,5.775,3.1319999999999997,1.863,122.9,78.1314
239,15.36,388.292,135.283,340.722,2.353,0.674,2.227,77.3439,18.0641
240,14.203,385.624,92.762,373.693,0.794,6.021,4.468,73.4451,-16.4241
241,12.539,382.932,156.723,312.018,2.698,0.409,7.923,86.5804,-46.049
242,14.713,380.218,117.689,353.192,1.975,1.191,5.857,53.114,-22.8081
243,15.89,377.481,245.435,315.169,4.374,0.787,6.045,98.8291,12.9726
244,16.646,374.723,184.756,318.921,5.125,2.509666666666667,5.497,98.5833,-20.7541
245,15.836,371.943,187.326,322.415,2.331,4.232333333333334,5.193,60.0607,22.2349
246,12.748,369.143,162.209,320.314,1.586,5.955,3.299,131.616,22.9184
247,12.153,366.323,213.322,301.45,3.062,0.1,1.676,104.684,66.566
248,11.114,363.484,146.499,316.718,1.477,1.024,2.128,82.8017,33.0215
249,12.541,360.626,167.39,313.01,2.172,2.24275,1.667,63.6184,40.2076
250,12.154,357.75,111.442,326.426,2.218,3.4615,2.364,39.1203,6.17327
251,14.358,354.856,118.104,355.661,2.728,4.68025,1.83,52.2451,23.4078
252,13.95,351.946,36.054,373.254,0.507,5.899,3.348,38.4826,-8.49904
253,15.943,349.02,177.351,328.263,2.198,0.51,5.96,77.9748,-0.784583
254,16.327,346.079,120.897,336.486,2.444,0.192,4.322,49.6348,1.84919
255,14.904,343.122,39.132,366.656,1.263,11.69,2.682,51.5647,-18.6092
256,14.47,340.152,105.067,367.959,1.099,6.237,5.96,74.0763,-9.88885
257,9.594,337.169,190.547,279.848,2.996,1.401,3.742,129.352,17.5773
258,11.58,334.174,218.024,282.152,3.944,1.593,4.013,85.5929,26.8415
